Field,ID,Type (Tipo),default,en-us
HolographicScreenshotCaption8,457,Texto,,
HolographicScreenshotCaption9,458,Texto,,
HolographicScreenshotCaption10,459,Texto,,
StoreLogo720x1080,600,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
StoreLogo1080x1080,601,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
StoreLogo300x300,602,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
OverrideLogosForWin10,603,True/False,,False
StoreLogoOverride150x150,604,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
StoreLogoOverride71x71,605,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
PromoImage1920x1080,606,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
PromoImage2400x1200,607,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
XboxBrandedKeyArt584x800,608,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
XboxTitledHero1920x1080,609,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
XboxFeaturedPromo1080x1080,610,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
OptionalPromo358x358,611,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
OptionalPromo1000x800,612,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
OptionalPromo414x180,613,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
Feature1,700,Texto,,
Feature2,701,Texto,,
Feature3,702,Texto,,
Feature4,703,Texto,,
Feature5,704,Texto,,
Feature6,705,Texto,,
Feature7,706,Texto,,
Feature8,707,Texto,,
Feature9,708,Texto,,
Feature10,709,Texto,,
Feature11,710,Texto,,
Feature12,711,Texto,,
Feature13,712,Texto,,
Feature14,713,Texto,,
Feature15,714,Texto,,
Feature16,715,Texto,,
Feature17,716,Texto,,
Feature18,717,Texto,,
Feature19,718,Texto,,
Feature20,719,Texto,,
MinimumHardwareReq1,800,Texto,,
MinimumHardwareReq2,801,Texto,,
MinimumHardwareReq3,802,Texto,,
MinimumHardwareReq4,803,Texto,,
MinimumHardwareReq5,804,Texto,,
MinimumHardwareReq6,805,Texto,,
MinimumHardwareReq7,806,Texto,,
MinimumHardwareReq8,807,Texto,,
MinimumHardwareReq9,808,Texto,,
MinimumHardwareReq10,809,Texto,,
MinimumHardwareReq11,810,Texto,,
RecommendedHardwareReq1,850,Texto,,
RecommendedHardwareReq2,851,Texto,,
RecommendedHardwareReq3,852,Texto,,
RecommendedHardwareReq4,853,Texto,,
RecommendedHardwareReq5,854,Texto,,
RecommendedHardwareReq6,855,Texto,,
RecommendedHardwareReq7,856,Texto,,
RecommendedHardwareReq8,857,Texto,,
RecommendedHardwareReq9,858,Texto,,
RecommendedHardwareReq10,859,Texto,,
RecommendedHardwareReq11,860,Texto,,
SearchTerm1,900,Texto,,
SearchTerm2,901,Texto,,
SearchTerm3,902,Texto,,
SearchTerm4,903,Texto,,
SearchTerm5,904,Texto,,
SearchTerm6,905,Texto,,
SearchTerm7,906,Texto,,
TrailerToPlayAtTopOfListing,999,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
Trailer1,1000,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
Trailer2,1001,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
Trailer3,1002,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
Trailer4,1003,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
Trailer5,1004,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
Trailer6,1005,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
Trailer7,1006,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
Trailer8,1007,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
Trailer9,1008,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
Trailer10,1009,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
Trailer11,1010,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
Trailer12,1011,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
Trailer13,1012,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
Trailer14,1013,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
Trailer15,1014,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
TrailerTitle1,1020,Texto,,
TrailerTitle2,1021,Texto,,
TrailerTitle3,1022,Texto,,
TrailerTitle4,1023,Texto,,
TrailerTitle5,1024,Texto,,
TrailerTitle6,1025,Texto,,
TrailerTitle7,1026,Texto,,
TrailerTitle8,1027,Texto,,
TrailerTitle9,1028,Texto,,
TrailerTitle10,1029,Texto,,
TrailerTitle11,1030,Texto,,
TrailerTitle12,1031,Texto,,
TrailerTitle13,1032,Texto,,
TrailerTitle14,1033,Texto,,
TrailerTitle15,1034,Texto,,
TrailerThumbnail1,1040,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
TrailerThumbnail2,1041,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
TrailerThumbnail3,1042,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
TrailerThumbnail4,1043,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
TrailerThumbnail5,1044,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
TrailerThumbnail6,1045,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
TrailerThumbnail7,1046,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
TrailerThumbnail8,1047,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
TrailerThumbnail9,1048,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
TrailerThumbnail10,1049,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
TrailerThumbnail11,1050,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
TrailerThumbnail12,1051,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
TrailerThumbnail13,1052,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
TrailerThumbnail14,1053,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
TrailerThumbnail15,1054,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
